Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country
Marc-André ter Stegen,Goalkeeper,32,FC Barcelona,187,right,40,0,28000000,Germany
Manuel Neuer,Goalkeeper,38,Bayern Munich,193,right,119,0,4000000,Germany
Oliver Baumann,Goalkeeper,34,TSG 1899 Hoffenheim,187,right,0,0,3000000,Germany
Nico Schlotterbeck,Centre-Back,24,Borussia Dortmund,191,left,12,0,40000000,Germany
Jonathan Tah,Centre-Back,28,Bayer 04 Leverkusen,195,right,25,0,30000000,Germany
Antonio Rüdiger,Centre-Back,31,Real Madrid,190,right,69,3,25000000,Germany
Waldemar Anton,Centre-Back,27,VfB Stuttgart,189,right,2,0,20000000,Germany
Robin Koch,Centre-Back,27,Eintracht Frankfurt,191,right,9,0,18000000,Germany
David Raum,Left-Back,26,RB Leipzig,180,left,21,0,20000000,Germany
Maximilian Mittelstädt,Left-Back,27,VfB Stuttgart,180,left,4,1,17000000,Germany
Joshua Kimmich,Right-Back,29,Bayern Munich,177,right,86,6,50000000,Germany
Benjamin Henrichs,Right-Back,27,RB Leipzig,185,right,15,0,20000000,Germany
Aleksandar Pavlovic,Defensive Midfield,20,Bayern Munich,188,both,1,0,30000000,Germany
Robert Andrich,Defensive Midfield,29,Bayer 04 Leverkusen,187,right,5,0,17000000,Germany
İlkay Gündoğan,Central Midfield,33,FC Barcelona,180,right,77,18,15000000,Germany
Toni Kroos,Central Midfield,34,Real Madrid,183,right,109,17,10000000,Germany
Pascal Groß,Central Midfield,32,Brighton & Hove Albion,181,right,7,1,8000000,Germany
Florian Wirtz,Attacking Midfield,21,Bayer 04 Leverkusen,177,right,18,1,130000000,Germany
Jamal Musiala,Attacking Midfield,21,Bayern Munich,184,right,29,2,120000000,Germany
Kai Havertz,Attacking Midfield,24,Arsenal FC,193,left,46,16,70000000,Germany
Chris Führich,Left Winger,26,VfB Stuttgart,181,right,4,0,28000000,Germany
Leroy Sané,Right Winger,28,Bayern Munich,183,left,60,13,70000000,Germany
Thomas Müller,Second Striker,34,Bayern Munich,185,right,129,45,8000000,Germany
Maximilian Beier,Centre-Forward,21,TSG 1899 Hoffenheim,185,right,1,0,30000000,Germany
Deniz Undav,Centre-Forward,27,VfB Stuttgart,179,right,2,0,25000000,Germany
Niclas Füllkrug,Centre-Forward,31,Borussia Dortmund,189,right,16,11,15000000,Germany
Angus Gunn,Goalkeeper,28,Norwich City,196,right,7,0,2500000,Scotland
Liam Kelly,Goalkeeper,28,Motherwell FC,184,right,1,0,800000,Scotland
Zander Clark,Goalkeeper,31,Heart of Midlothian FC,191,right,3,0,700000,Scotland
Scott McKenna,Centre-Back,27,FC Copenhagen,189,left,33,1,10000000,Scotland
Jack Hendry,Centre-Back,29,Al-Ettifaq FC,192,right,24,3,3000000,Scotland
