ID,class,name,sex,age,hometown,nationality,boarding,destination,lifeboat,survival
1,3,Braund, Mr. Owen Harris,male,22,Bridgerule,England,Southampton,Qu'Appelle Valley,,no
2,1,Cumings, Mrs. John Bradley (Florence Briggs Thayer),female,38,NewYork,US,Cherbourg,New York,4,yes
3,3,Heikkinen, Miss. Laina,female,26,Jyväskylä,Finland,Southampton,New York City,14,yes
4,1,Futrelle, Mrs. Jacques Heath (Lily May Peel),female,35,Scituate,US,Southampton,Scituate,D,yes
5,3,Allen, Mr. William Henry,male,35,Birmingham,England,Southampton,New York City,,no
6,3,Moran, Mr. James,male,,Cork,Ireland,Queenstown,New York City,,no
7,1,McCarthy, Mr. Timothy J,male,54,Dorchester,US,Southampton,Dorchester,,no
8,3,Palsson, Master. Gosta Leonard,male,2,Bjuv,Sweden,Southampton,Chicago,,no
9,3,Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg),female,27,St.Charles,US,Southampton,St. Charles,15,yes
10,2,Nasser, Mrs. Nicholas (Adele Achem),female,14,Zahlé,OttomanEmpire,Cherbourg,Cleveland,?,yes
11,3,Sandstrom, Miss. Marguerite Rut,female,4,Motala,Sweden,Southampton,San Francisco,13,yes
12,1,Bonnell, Miss. Elizabeth,female,58,Youngstown,US,Southampton,Youngstown,8,yes
13,3,Saundercock, Mr. William Henry,male,20,StAustell,England,Southampton,New York City,,no
14,3,Andersson, Mr. Anders Johan,male,39,Kisa,Sweden,Southampton,Winnipeg,,no
15,3,Vestrom, Miss. Hulda Amanda Adolfina,female,14,Salmunds,Sweden,Southampton,Los Angeles,,no
16,2,Hewlett, Mrs. (Mary D Kingcome) ,female,55,Lucknow,UK,Southampton,Rapid City,13,yes
17,3,Rice, Master. Eugene,male,2,Athlone,Ireland,Queenstown,Spokane,,no
18,2,Williams, Mr. Charles Eugene,male,,Harrow,England,Southampton,Chicago,14,yes
19,3,Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele),female,31,Pittem,Belgium,Southampton,Fremont,,no
20,3,Masselmani, Mrs. Fatima,female,,Tebnine,Lebanon,Cherbourg,Michigan City,C,yes
21,2,Fynney, Mr. Joseph J,male,35,Liverpool,England,Southampton,Montreal,,no
22,2,Beesley, Mr. Lawrence,male,34,London,UK,Southampton,Toronto,13,yes
23,3,"McGowan, Miss. Anna ""Annie""",female,15,Massbrook,Ireland,Queenstown,Chicago,13,yes
24,1,Sloper, Mr. William Thompson,male,28,NewBritain,US,Southampton,New Britain,7,yes
25,3,Palsson, Miss. Torborg Danira,female,8,Bjuv,Sweden,Southampton,Chicago,,no
26,3,Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38,Alseda,Sweden,Southampton,Worcester,15,yes
27,3,Emir, Mr. Farred Chehab,male,,Hadath,Lebanon,Cherbourg,New York City,,no
28,1,Fortune, Mr. Charles Alexander,male,19,Winnipeg,Canada,Southampton,Winnipeg,,no
29,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,Limerick,Ireland,Queenstown,New York City,?,yes
30,3,Todoroff, Mr. Lalio,male,,Unknown,Bulgaria,Southampton,Chicago,,no
31,1,Uruchurtu, Don. Manuel E,male,40,MexicoCity,Mexico,Cherbourg,Mexico City,,no
32,1,Spencer, Mrs. William Augustus (Marie Eugenie),female,,NewYork,US,Cherbourg,New York,6,yes
33,3,Glynn, Miss. Mary Agatha,female,,Killaloe,Ireland,Queenstown,Washington,13,yes
34,2,Wheadon, Mr. Edward H,male,66,Guernsey,England,Southampton,Edgewood,,no
35,1,Meyer, Mr. Edgar Joseph,male,28,NewYork,US,Cherbourg,New York,,no
36,1,Holverson, Mr. Alexander Oskar,male,42,NewYork,US,Southampton,New York,,no
37,3,Mamee, Mr. Hanna,male,,Tripoli,Lebanon,Cherbourg,Philadelphia,15,yes
38,3,Cann, Mr. Ernest Charles,male,21,Penwithick,England,Southampton,New York City,,no
39,3,Vander Planke, Miss. Augusta Maria,female,18,Zwevezele,Belgium,Southampton,Fremont,,no
40,3,Nicola-Yarred, Miss. Jamila,female,14,El-Hakour,Lebanon,Cherbourg,Jacksonville,C,yes
41,3,Ahlin, Mrs. Johan (Johanna Persdotter Larsson),female,40,Göteborg,Sweden,Southampton,Akeley,,no
42,2,Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott),female,27,Plymouth,England,Southampton,Salt Lake City,,no
43,3,Kraeff, Mr. Theodor,male,,Vetren,Bulgaria,Cherbourg,Madison,,no
44,2,Laroche, Miss. Simonne Marie Anne Andree,female,3,Paris,France,Cherbourg,Cap-Haïtien,14,yes
45,3,Devaney, Miss. Margaret Delia,female,19,Kilmacowen,Ireland,Queenstown,New York City,C,yes
46,3,Rogers, Mr. William John,male,,Pontardawe,Wales,Southampton,New York City,,no
47,3,Lennon, Mr. Denis,male,,Ballymahon,Ireland,Queenstown,New York City,,no
48,3,O'Driscoll, Miss. Bridget,female,,Ballydehob,Ireland,Queenstown,Jersey City,D,yes
49,3,Samaan, Mr. Youssef,male,,Hardîne,Lebanon,Cherbourg,Wilkes-Barre,,no
50,3,Arnold-Franchi, Mrs. Josef (Josefine Franchi),female,18,Altdorf,Switzerland,Southampton,New Glarus,,no
51,3,Panula, Master. Juha Niilo,male,7,Ylihärmä,Finland,Southampton,Coal Center,,no
52,3,Nosworthy, Mr. Richard Cater,male,21,NewtonAbbot,England,Southampton,Buffalo,,no
53,1,Harper, Mrs. Henry Sleeper (Myna Haxtun),female,49,NewYork,US,Cherbourg,New York,3,yes
54,2,Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson),female,29,Manchester,England,Southampton,Philadelphia,16,yes
55,1,Ostby, Mr. Engelhart Cornelius,male,65,Providence,US,Southampton,Providence,,no
56,1,Woolner, Mr. Hugh,male,,London,UK,Southampton,New York,D,yes
57,2,Rugg, Miss. Emily,female,21,Guernsey,England,Southampton,Wilmington,12,yes
58,3,Novel, Mr. Mansouer,male,44,KafrMishki,Lebanon,Cherbourg,Ottawa,,no
59,2,West, Miss. Constance Mirium,female,5,Bournemouth,England,Southampton,Gainesville,10,yes
60,3,Goodwin, Master. William Frederick,male,11,Fulham,England,Southampton,Niagara Falls,,no
61,3,Sirayanian, Mr. Orsen,male,22,Kiğı,Turkey,Cherbourg,Brantford,,no
62,1,Icard, Miss. Amelie,female,38,NewYork,US,Southampton,New York,6,yes
63,1,Harris, Mr. Henry Birkhardt,male,45,NewYork,US,Southampton,New York,,no
64,3,Skoog, Master. Harald,male,4,Hällekis,Sweden,Southampton,Iron Mountain,,no
65,1,Stewart, Mr. Albert A,male,,Cincinnati,US,Cherbourg,Gallipolis,,no
66,3,Moubarek, Master. Gerios,male,,Hardîne,Lebanon,Cherbourg,Houtzdale,C,yes
67,2,Nye, Mrs. (Elizabeth Ramell),female,29,EastOrange,US,Southampton,East Orange,11,yes
68,3,Crease, Mr. Ernest James,male,19,Bristol,England,Southampton,Cleveland,,no
69,3,Andersson, Miss. Erna Alexandra,female,17,Kullaa,Finland,Southampton,New York City,D,yes
70,3,Kink, Mr. Vincenz,male,26,Zürich,Switzerland,Southampton,Milwaukee,,no
71,2,Jenkin, Mr. Stephen Curnow,male,32,St.Ives,England,Southampton,Houghton,,no
72,3,Goodwin, Miss. Lillian Amy,female,16,Fulham,England,Southampton,Niagara Falls,,no
